DATE,SP57BOND,,,,,,,,
4/7/09,404.71,,,,,,,,
4/8/09,405.54,,,,,,,,
4/9/09,404.38,,,,,,,,
4/13/09,406.57,,,,,,,,
4/14/09,407.97,,,,,,,,
4/15/09,408.46,,,,,,,,
4/16/09,406.95,,,,,,,,
4/17/09,404.62,,,,,,,,
4/20/09,406.49,,,,,,,,
4/21/09,405.1,,,,,,,,
4/22/09,403.96,,,,,,,,
4/23/09,404.42,,,,,,,,
4/24/09,403.18,,,,,,,,
4/27/09,405.17,,,,,,,,
4/28/09,403.39,,,,,,,,
4/29/09,401.83,,,,,,,,
4/30/09,401.73,,,,,,,,
5/1/09,401.34,,,,,,,,
5/4/09,401.53,,,,,,,,
5/5/09,401.3,,,,,,,,
5/6/09,401.41,,,,,,,,
5/7/09,399.08,,,,,,,,
5/8/09,399.1,,,,,,,,
5/11/09,401.57,,,,,,,,
5/12/09,401.8,,,,,,,,
5/13/09,402.96,,,,,,,,
5/14/09,402.83,,,,,,,,
5/15/09,402.43,,,,,,,,
5/18/09,400.57,,,,,,,,
5/19/09,400.04,,,,,,,,
5/20/09,401.26,,,,,,,,
5/21/09,398.91,,,,,,,,
5/22/09,397.13,,,,,,,,
5/26/09,395.98,,,,,,,,
5/27/09,392.86,,,,,,,,
5/28/09,392.2,,,,,,,,
5/29/09,395.22,,,,,,,,
6/1/09,390.99,,,,,,,,
6/2/09,391.7,,,,,,,,
6/3/09,393.4,,,,,,,,
6/4/09,390.55,,,,,,,,
6/5/09,385.3,,,,,,,,
6/8/09,384.3,,,,,,,,
6/9/09,385.67,,,,,,,,
6/10/09,384.44,,,,,,,,
6/11/09,386.06,,,,,,,,
6/12/09,387.21,,,,,,,,
6/15/09,388.7,,,,,,,,
6/16/09,389.3,,,,,,,,
6/17/09,389.74,,,,,,,,
6/18/09,385.93,,,,,,,,
6/19/09,386.77,,,,,,,,
6/22/09,389.06,,,,,,,,
6/23/09,389.69,,,,,,,,
6/24/09,389.08,,,,,,,,
6/25/09,391.98,,,,,,,,
6/26/09,393.02,,,,,,,,
6/29/09,393.19,,,,,,,,
6/30/09,392.61,,,,,,,,
7/1/09,393.02,,,,,,,,
7/2/09,394.79,,,,,,,,
7/6/09,395.32,,,,,,,,
7/7/09,396.23,,,,,,,,
7/8/09,399.54,,,,,,,,
7/9/09,397.34,,,,,,,,
7/10/09,399.71,,,,,,,,
7/13/09,398.88,,,,,,,,
7/14/09,397.24,,,,,,,,
7/15/09,393.92,,,,,,,,
7/16/09,394.96,,,,,,,,
7/17/09,393.3,,,,,,,,
7/20/09,395.13,,,,,,,,
7/21/09,397.38,,,,,,,,
7/22/09,395.8,,,,,,,,
7/23/09,392.26,,,,,,,,
7/24/09,392.98,,,,,,,,
7/27/09,392.38,,,,,,,,
7/28/09,392.14,,,,,,,,
7/29/09,391.6,,,,,,,,
7/30/09,391.99,,,,,,,,
7/31/09,395.01,,,,,,,,
8/3/09,392.3,,,,,,,,
8/4/09,391.87,,,,,,,,
8/5/09,390.65,,,,,,,,
8/6/09,391.19,,,,,,,,
8/7/09,388.89,,,,,,,,
8/10/09,390.91,,,,,,,,
8/11/09,392,,,,,,,,
8/12/09,392.44,,,,,,,,
8/13/09,394.67,,,,,,,,
8/14/09,395.62,,,,,,,,
8/17/09,397.25,,,,,,,,
8/18/09,396.38,,,,,,,,
8/19/09,397.64,,,,,,,,
8/20/09,397.94,,,,,,,,
8/21/09,395,,,,,,,,
8/24/09,396.41,,,,,,,,
8/25/09,397.19,,,,,,,,
8/26/09,397.56,,,,,,,,
8/27/09,397.26,,,,,,,,
8/28/09,397.88,,,,,,,,
8/31/09,399.39,,,,,,,,
9/1/09,400.48,,,,,,,,
9/2/09,402,,,,,,,,
9/3/09,401.4,,,,,,,,
9/4/09,399.42,,,,,,,,
9/8/09,399.37,,,,,,,,
9/9/09,399.21,,,,,,,,
9/10/09,401.72,,,,,,,,
9/11/09,401.67,,,,,,,,
9/14/09,400.45,,,,,,,,
9/15/09,399.48,,,,,,,,
9/16/09,398.64,,,,,,,,
9/17/09,400.09,,,,,,,,
9/18/09,398.35,,,,,,,,
9/21/09,398.33,,,,,,,,
9/22/09,399.13,,,,,,,,
9/23/09,400.25,,,,,,,,
9/24/09,401.11,,,,,,,,
9/25/09,401.65,,,,,,,,
9/28/09,402.39,,,,,,,,
9/29/09,402.55,,,,,,,,
9/30/09,402.81,,,,,,,,
10/1/09,405.56,,,,,,,,
10/2/09,405.27,,,,,,,,
10/5/09,405.23,,,,,,,,
10/6/09,404.8,,,,,,,,
10/7/09,406.53,,,,,,,,
10/8/09,405,,,,,,,,
10/9/09,402.27,,,,,,,,
10/13/09,404.23,,,,,,,,
10/14/09,402.26,,,,,,,,
10/15/09,401.22,,,,,,,,
10/16/09,402.15,,,,,,,,
10/19/09,402.58,,,,,,,,
10/20/09,403.87,,,,,,,,
10/21/09,402.1,,,,,,,,
10/22/09,402.04,,,,,,,,
10/23/09,400.68,,,,,,,,
10/26/09,399.24,,,,,,,,
10/27/09,401.76,,,,,,,,
10/28/09,402.85,,,,,,,,
10/29/09,401.21,,,,,,,,
10/30/09,403.88,,,,,,,,
11/2/09,403.74,,,,,,,,
11/3/09,402.94,,,,,,,,
11/4/09,402.15,,,,,,,,
11/5/09,402.92,,,,,,,,
11/6/09,403.84,,,,,,,,
11/9/09,404.19,,,,,,,,
11/10/09,404.18,,,,,,,,
11/12/09,405.09,,,,,,,,
11/13/09,405.15,,,,,,,,
11/16/09,407.2,,,,,,,,
11/17/09,407.48,,,,,,,,
11/18/09,406.73,,,,,,,,
11/19/09,407.39,,,,,,,,
11/20/09,407.12,,,,,,,,
11/23/09,407.26,,,,,,,,
11/24/09,408.81,,,,,,,,
11/25/09,409.98,,,,,,,,
11/27/09,411.83,,,,,,,,
11/30/09,412.38,,,,,,,,
12/1/09,411.43,,,,,,,,
12/2/09,410.15,,,,,,,,
12/3/09,409.1,,,,,,,,
12/4/09,406.46,,,,,,,,
12/7/09,407.74,,,,,,,,
12/8/09,409.41,,,,,,,,
12/9/09,408.91,,,,,,,,
12/10/09,407.68,,,,,,,,
12/11/09,406.16,,,,,,,,
12/14/09,405.72,,,,,,,,
12/15/09,404.43,,,,,,,,
